,Team,EPA per play,Rank
0,NO,0.16160251963152067,1
1,ATL,0.10331600408431481,2
2,KC,0.0963241106669153,3
3,SEA,0.08308416618789227,4
4,TB,0.07798472075741857,5
5,CAR,0.0656104638798761,6
6,CIN,0.05987652645799777,7
7,DAL,0.05825204506330965,8
8,NE,0.049062669408371555,9
9,IND,0.046166312533365145,10
10,HOU,0.04393632287691207,11
11,NYG,0.04387967516801754,12
12,LA,0.04216182950589286,13
13,LAC,0.025796184857549965,14
14,PHI,0.0171525348440785,15
15,DEN,0.01677907453265095,16
16,GB,0.012348086928966913,17
17,TEN,-0.007828099154523418,18
18,BAL,-0.016599275201887774,19
19,CLE,-0.018920553642302353,20
20,DET,-0.02386903404628369,21
21,CHI,-0.030629137401597138,22
22,WAS,-0.052102608893419576,23
23,ARI,-0.05306344662335391,24
24,PIT,-0.05604877972347353,25
25,MIN,-0.0740723135299465,26
26,MIA,-0.09958224412290301,27
27,OAK,-0.11471027836695133,28
28,BUF,-0.11747037577270213,29
29,NYJ,-0.11873782840528486,30
30,JAX,-0.15552695436498468,31
31,SF,-0.15874137512282102,32
